school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja
彦根西高校,50,県立,共学,普通,彦根市,shiga,滋賀県
長浜高校,49,県立,共学,普通,長浜市,shiga,滋賀県
彦根西高校,45,県立,共学,家庭科学,彦根市,shiga,滋賀県
瀬田高校,32,県立,共学,機械電気,大津市,shiga,滋賀県
嵯峨野高校,71,府立,共学,京都こすもす専修,京都市右京区,kyoto,京都府
嵯峨野高校,70,府立,共学,京都こすもす共修,京都市右京区,kyoto,京都府
桃山高校,69,府立,共学,自然科学,京都市伏見区,kyoto,京都府
南陽高校,68,府立,共学,サイエンスリサーチ,木津川市,kyoto,京都府
福知山高校,68,府立,共学,文理科学,福知山市,kyoto,京都府
山城高校,65,府立,共学,文理総合,京都市北区,kyoto,京都府
城南菱創高校,64,府立,共学,教養科学,宇治市,kyoto,京都府
南陽高校,62,府立,共学,普通,木津川市,kyoto,京都府
洛北高校,62,府立,共学,普通,京都市左京区,kyoto,京都府
嵯峨野高校,61,府立,共学,普通,京都市右京区,kyoto,京都府
西舞鶴高校,61,府立,共学,理数探究,舞鶴市,kyoto,京都府
桃山高校,60,府立,共学,普通,京都市伏見区,kyoto,京都府
山城高校,59,府立,共学,普通,京都市北区,kyoto,京都府
亀岡高校,58,府立,共学,探究文理,亀岡市,kyoto,京都府
城南菱創高校,57,府立,共学,普通,宇治市,kyoto,京都府
鳥羽高校,56,府立,共学,普通,京都市南区,kyoto,京都府
福知山高校,56,府立,共学,普通,福知山市,kyoto,京都府
洛西高校,55,府立,共学,普通,京都市西京区,kyoto,京都府
莵道高校,55,府立,共学,普通,宇治市,kyoto,京都府
西城陽高校,54,府立,共学,普通,城陽市,kyoto,京都府
宮津天橋高校宮津学舎,53,府立,共学,普通,宮津市,kyoto,京都府
乙訓高校,52,府立,共学,スポーツ健康科学,長岡京市,kyoto,京都府
亀岡高校,52,府立,共学,普通,亀岡市,kyoto,京都府
桂高校,52,府立,共学,普通,京都市西京区,kyoto,京都府
東宇治高校,52,府立,共学,普通/英語探究,宇治市,kyoto,京都府
東宇治高校,52,府立,共学,普通/文理,宇治市,kyoto,京都府
北嵯峨高校,51,府立,共学,普通,京都市右京区,kyoto,京都府
鴨沂高校,50,府立,共学,普通,京都市上京区,kyoto,京都府
西乙訓高校,50,府立,共学,普通,長岡京市,kyoto,京都府
鳥羽高校,50,府立,共学,グローバル,京都市南区,kyoto,京都府
峰山高校,50,府立,共学,普通,京丹後市,kyoto,京都府
久御山高校,49,府立,共学,普通,久世郡久御山町,kyoto,京都府
西舞鶴高校,49,府立,共学,普通,舞鶴市,kyoto,京都府
北稜高校,49,府立,共学,普通,京都市左京区,kyoto,京都府
久御山高校,48,府立,共学,スポーツ総合,久世郡久御山町,kyoto,京都府
京都すばる高校,48,府立,共学,情報科学,京都市伏見区,kyoto,京都府
洛北高校,48,府立,共学,スポーツ総合,京都市左京区,kyoto,京都府
京都すばる高校,47,府立,共学,起業創造,京都市伏見区,kyoto,京都府
京都すばる高校,47,府立,共学,企画,京都市伏見区,kyoto,京都府
