area_code,daynight_ratio,area_name
11347,87.76934,吉見町
11348,95.56423,鳩山町
11349,89.76679,ときがわ町
11361,82.68576,横瀬町
11362,91.52275,皆野町
11363,86.03222,長瀞町
11365,93.54626,小鹿野町
11369,79.48542,東秩父村
11381,104.85411,美里町
11383,91.55863,神川町
11385,84.67855,上里町
11408,96.3352,寄居町
11442,82.12728,宮代町
11464,89.03616,杉戸町
11465,77.86168,松伏町
12100,97.90571,千葉市
12101,123.73824,千葉市中央区
12102,79.73493,千葉市花見川区
12103,93.28376,千葉市稲毛区
12104,86.05555,千葉市若葉区
12105,80.28034,千葉市緑区
12106,116.25425,千葉市美浜区
12202,98.67733,銚子市
12203,82.19093,市川市
12204,84.19962,船橋市
12205,102.53877,館山市
12206,97.73596,木更津市
12207,82.03752,松戸市
12208,93.7721,野田市
12210,95.94706,茂原市
12211,123.64586,成田市
12212,83.0652,佐倉市
12213,98.59691,東金市
12215,93.20278,旭市
12216,91.20774,習志野市
12217,90.38661,柏市
12218,94.51372,勝浦市
12219,93.88326,市原市
12220,74.85333,流山市
12221,86.60381,八千代市
12222,79.09214,我孫子市
12223,103.08558,鴨川市
12224,77.7941,鎌ケ谷市
12225,97.37543,君津市
12226,92.08131,富津市
12227,96.16093,浦安市
12228,81.21687,四街道市
12229,94.77786,袖ケ浦市
12230,80.82393,八街市
12231,86.83177,印西市
12232,82.46911,白井市
12233,85.9477,富里市
12234,90.29795,南房総市
12235,94.07423,匝瑳市
12236,90.7573,香取市
12237,87.22952,山武市
12238,88.6174,いすみ市
12239,75.429,大網白里市
12322,83.60773,酒々井町
12329,71.09478,栄町
12342,86.12425,神崎町
12347,101.86091,多古町
12349,79.98869,東庄町
12403,85.42096,九十九里町
12409,149.61647,芝山町
12410,84.84555,横芝光町
12421,86.60661,一宮町
12422,83.25948,睦沢町
12423,80.36075,長生村
12424,83.65773,白子町
12426,99.08682,長柄町
12427,96.72191,長南町
12441,103.95205,大多喜町
12443,86.57553,御宿町
12463,86.27524,鋸南町
13100,129.77385,特別区部
13101,1460.58282,千代田区
13102,431.07385,中央区
13103,386.70396,港区
13104,232.5066,新宿区
13105,157.53036,文京区
13106,153.44393,台東区
13107,108.93848,墨田区
13108,122.16844,江東区
13109,140.62685,品川区
13110,105.83887,目黒区
13111,96.76229,大田区
13112,94.85513,世田谷区
13113,240.10235,渋谷区
13114,95.44658,中野区
13115,85.1024,杉並区
13116,143.26692,豊島区
13117,96.68021,北区
13118,91.3975,荒川区
13119,90.42259,板橋区
13120,83.83893,練馬区
13121,90.8742,足立区
