school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja,area_code,daynight_ratio
苫小牧工業高校,48,道立,共学,電子機械,苫小牧市,hokkaido,北海道,01213,100.23967
苫小牧西高校,48,道立,共学,普通,苫小牧市,hokkaido,北海道,01213,100.23967
名寄高校,48,道立,共学,普通,名寄市,hokkaido,北海道,01221,100.54048
留萌高校,48,道立,共学,普通,留萌市,hokkaido,北海道,01212,101.45808
おといねっぷ美術工芸高校,47,道立,共学,工芸,中川郡音威子府村,hokkaido,北海道,,
江別高校,47,道立,共学,生活デザイン,江別市,hokkaido,北海道,01217,89.56779
札幌工業高校,47,道立,共学,機械,札幌市北区,hokkaido,北海道,01102,95.93896
札幌工業高校,47,道立,共学,建築,札幌市北区,hokkaido,北海道,01102,95.93896
札幌工業高校,47,道立,共学,電気,札幌市北区,hokkaido,北海道,01102,95.93896
札幌工業高校,47,道立,共学,土木,札幌市北区,hokkaido,北海道,01102,95.93896
稚内高校,47,道立,共学,商業,稚内市,hokkaido,北海道,01214,100.31061
苫小牧工業高校,47,道立,共学,環境化学,苫小牧市,hokkaido,北海道,01213,100.23967
苫小牧工業高校,47,道立,共学,建築,苫小牧市,hokkaido,北海道,01213,100.23967
苫小牧工業高校,47,道立,共学,情報技術,苫小牧市,hokkaido,北海道,01213,100.23967
苫小牧工業高校,47,道立,共学,土木,苫小牧市,hokkaido,北海道,01213,100.23967
北見商業高校,47,道立,共学,商業,北見市,hokkaido,北海道,01208,99.87956
北見商業高校,47,道立,共学,情報処理,北見市,hokkaido,北海道,01208,99.87956
北見商業高校,47,道立,共学,流通経済,北見市,hokkaido,北海道,01208,99.87956
岩内高校,46,道立,共学,普通,岩内郡岩内町,hokkaido,北海道,,
栗山高校,46,道立,共学,普通,夕張郡栗山町,hokkaido,北海道,,
江別高校,46,道立,共学,事務情報,江別市,hokkaido,北海道,01217,89.56779
札幌丘珠高校,46,道立,共学,普通,札幌市東区,hokkaido,北海道,01103,94.61155
札幌真栄高校,46,道立,共学,普通,札幌市清田区,hokkaido,北海道,01110,85.0051
大樹高校,46,道立,共学,普通,広尾郡大樹町,hokkaido,北海道,,
苫小牧総合経済高校,46,道立,共学,国際経済,苫小牧市,hokkaido,北海道,01213,100.23967
苫小牧総合経済高校,46,道立,共学,情報処理,苫小牧市,hokkaido,北海道,01213,100.23967
